Id,OverallCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,SalePrice
106,5,1053,1053,939,1992,2,3,250000
107,7,641,1047,0,1047,1,2,100000
108,5,789,789,0,789,1,2,115000
109,7,793,997,520,1517,2,3,115000
110,6,1844,1844,0,1844,2,3,190000
111,4,994,1216,639,1855,2,4,136900
112,5,384,774,656,1430,2,3,180000
113,5,1264,1282,1414,2696,2,4,383970
114,5,1809,2259,0,2259,2,3,217000
115,8,1028,1436,884,2320,2,3,259500
116,5,729,729,729,1458,2,2,176000
117,5,1092,1092,0,1092,1,3,139000
118,5,1125,1125,0,1125,1,2,155000
119,5,1673,1699,1523,3222,3,5,320000
120,5,728,728,728,1456,2,3,163990
121,5,938,988,0,988,1,1,180000
122,5,732,772,351,1123,1,3,100000
123,7,1080,1080,0,1080,1,3,136000
124,5,1199,1199,0,1199,2,2,153900
125,5,1362,1586,0,1586,2,3,181000
126,8,520,520,0,754,1,2,84500
127,5,1078,958,0,958,2,2,128000
128,7,672,840,0,840,1,3,87000
129,5,660,660,688,1348,1,3,155000
130,7,1008,1053,0,1053,1,3,150000
131,6,924,1216,941,2157,2,4,226000
132,5,992,1022,1032,2054,2,3,244000
133,6,1063,1327,0,1327,1,3,150750
134,5,1267,1296,0,1296,2,2,220000
135,6,1461,1721,0,1721,2,3,180000
136,6,1304,1682,0,1682,2,3,174000
137,5,1214,1214,0,1214,2,3,143000
138,5,1907,1959,0,1959,3,5,171000
139,5,1004,1004,848,1852,2,3,230000
140,5,928,928,836,1764,2,3,231500
141,5,864,864,0,864,1,3,115000
142,5,1734,1734,0,1734,2,3,260000
143,4,910,910,475,1385,2,4,166000
144,5,1490,1501,0,1501,2,3,204000
145,5,1728,1728,0,1728,2,6,125000
146,5,970,970,739,1709,2,3,130000
147,7,715,875,0,875,1,2,105000
148,5,884,884,1151,2035,2,3,222500
149,5,1080,1080,0,1080,1,3,141000
150,4,896,896,448,1344,1,3,115000
151,6,969,969,0,969,1,3,122000
152,5,1710,1710,0,1710,2,2,372402
153,5,825,1097,896,1993,2,4,190000
154,7,1602,1252,0,1252,1,1,235000
155,5,1200,1200,0,1200,1,4,125000
156,5,572,572,524,1096,1,2,79000
157,7,0,1040,0,1040,1,2,109500
158,5,774,774,1194,1968,2,4,269500
159,5,991,991,956,1947,2,3,254900
160,5,1392,1392,1070,2462,2,4,320000
161,6,1232,1232,0,1232,2,3,162500
162,5,1572,1572,1096,2668,2,3,412500
163,5,1541,1541,0,1541,2,3,220000
164,6,882,882,0,882,1,1,103200
165,7,1149,1149,467,1616,2,3,152000
166,7,644,808,547,1355,2,4,127500
167,5,1617,1867,0,1867,1,2,190000
168,5,1582,1610,551,2161,1,3,325624
169,5,840,840,880,1720,2,3,183500
170,6,1686,1707,0,1707,2,2,228000
171,6,720,854,0,1382,1,2,128500
172,5,1080,1656,0,1656,1,3,215000
173,7,1064,1064,703,1767,2,2,239000
174,5,1362,1362,0,1362,1,3,163000
175,5,1606,1651,0,1651,2,3,184000
176,7,1202,2158,0,2158,2,4,243000
177,5,1151,1164,896,2060,2,4,211000
178,5,1052,1252,668,1920,2,4,172500
179,5,2216,2234,0,2234,2,1,501837
180,6,968,968,0,968,1,2,100000
181,5,756,769,756,1525,2,3,177000
182,6,793,901,901,1802,1,4,200100
183,6,0,1340,0,1340,1,3,120000
184,5,1362,1362,720,2082,2,3,200000
185,8,504,936,316,1252,1,3,127000
186,9,1107,1518,1518,3608,2,4,475000
187,5,1188,1217,0,1217,2,3,173000
188,7,660,808,704,1656,2,3,135000
189,5,1086,1224,0,1224,0,2,153337
190,5,1593,1593,0,1593,1,0,286000
191,8,853,1549,1178,2727,2,3,315000
192,9,725,725,754,1479,1,4,184000
193,5,1431,1431,0,1431,2,3,192000
194,5,970,970,739,1709,2,3,130000
195,7,864,864,0,864,1,3,127000
196,6,855,855,601,1456,2,3,148500
197,5,1726,1726,0,1726,2,3,311872
198,4,1360,1360,1360,3112,2,4,235000
199,6,755,929,929,2229,1,5,104000
200,5,1713,1713,0,1713,2,3,274900
201,5,1121,1121,0,1121,2,2,140000
202,6,1196,1279,0,1279,2,3,171500
203,6,617,865,445,1310,2,2,112000
204,5,848,848,0,848,1,1,149000
205,7,720,720,564,1284,1,2,110000
206,5,1424,1442,0,1442,2,3,180500
207,5,1140,1696,0,1696,1,3,143900
208,5,1100,1100,0,1100,1,3,141000
209,5,1157,1180,882,2062,2,3,277000
210,7,1092,1092,0,1092,1,3,145000
211,6,864,864,0,864,1,2,98000
212,5,1212,1212,0,1212,2,3,186000
213,5,900,932,920,1852,2,3,252678
214,5,990,990,0,990,1,3,156000
215,7,689,689,703,1392,1,3,161750
216,6,1070,1236,0,1236,1,2,134450
217,5,1436,1436,0,1436,2,3,210000
218,4,686,810,518,1328,1,3,107000
219,9,798,1137,817,1954,1,3,311500
220,5,1248,1248,0,1248,2,2,167240
221,5,1498,1498,0,1498,2,2,204900
222,5,1010,1010,1257,2267,2,4,200000
223,6,713,811,741,1552,2,3,179900
224,6,864,864,0,864,1,2,97000
225,5,2392,2392,0,2392,2,3,386250
226,5,630,630,672,1302,2,3,112000
227,5,1203,1214,1306,2520,2,4,290000
228,6,483,483,504,987,1,2,106000
229,5,912,912,0,912,1,3,125000
230,5,1373,1555,0,1555,2,2,192500
231,6,1194,1194,0,1194,1,3,148000
232,5,1462,1490,1304,2794,2,4,403000
233,5,483,483,504,987,1,2,94500
234,6,894,894,0,894,1,3,128200
235,5,860,860,1100,1960,2,4,216500
236,3,483,483,504,987,1,2,89500
237,5,1414,1414,0,1414,2,3,185500
238,7,996,1014,730,1744,2,3,194500
239,5,1694,1694,0,1694,2,3,318000
240,4,735,798,689,1487,1,3,113000
241,5,1566,1566,0,1566,2,3,262500
242,9,686,866,0,866,1,2,110500
243,4,540,889,551,1440,1,3,79000
244,6,626,626,591,1217,1,3,120000
245,5,948,1222,888,2110,2,3,205000
246,5,1845,1872,0,1872,2,3,241500
247,8,1020,908,1020,1928,2,4,137000
248,5,1367,1375,0,1375,1,2,140000
249,5,840,840,828,1668,2,3,180000
250,7,1444,1444,700,2144,2,4,277000
251,2,728,1306,0,1306,1,3,76500
252,5,1573,1625,0,1625,2,2,235000
253,5,798,798,842,1640,2,3,173000
254,7,1302,1302,0,1302,2,3,158000
255,6,1314,1314,0,1314,1,3,145000
256,5,975,1005,1286,2291,2,4,230000
257,5,864,864,864,1728,2,3,207500
258,5,1604,1604,0,1604,2,3,220000
259,5,963,963,829,1792,2,3,231500
260,5,0,882,0,882,1,2,97000
261,5,1362,1382,0,1382,1,3,176000
262,5,1482,1482,1092,2574,2,3,276000
263,7,506,1212,0,1212,1,3,151000
264,7,926,926,0,1316,1,3,130000
265,5,680,764,0,764,1,2,73000
266,6,1422,1422,0,1422,2,3,175500
267,5,802,802,709,1511,2,3,185000
268,8,720,1052,720,2192,2,4,179500
269,6,740,778,0,778,1,2,120500
270,7,1143,1113,0,1113,1,3,148000
271,5,1095,1095,844,1939,2,3,266000
272,7,1385,1363,0,1363,1,2,241500
273,7,1152,1164,1106,2270,2,4,290000
274,6,1240,1632,0,1632,2,3,139000
275,7,816,816,0,816,1,2,124500
276,7,952,952,596,1548,2,3,205000
277,5,1560,1560,0,1560,2,3,201000
278,5,864,864,0,864,1,2,141000
279,5,2121,2121,0,2121,2,3,415298
280,5,1160,1156,866,2022,2,4,192000
281,6,807,1175,807,1982,2,3,228500
282,5,1262,1262,0,1262,2,2,185000
283,5,1314,1314,0,1314,2,2,207500
284,5,1468,1468,0,1468,2,3,244600
285,5,1575,1575,0,1575,2,2,179200
286,5,625,625,625,1250,2,2,164700
287,7,912,1085,649,1734,1,3,159000
288,4,858,858,0,858,1,3,88000
289,5,882,900,0,900,1,3,122000
290,7,698,698,698,1396,1,3,153575
291,5,1079,1079,840,1919,2,3,233230
292,6,780,936,780,1716,2,6,135900
293,4,768,1148,568,1716,1,3,131000
294,7,795,1468,795,2263,2,3,235000
295,5,1416,1644,0,1644,1,3,167000
296,6,1003,1003,0,1003,1,3,142500
297,5,910,910,648,1558,1,4,152000
298,5,975,975,975,1950,2,3,239000
299,6,702,1041,702,1743,1,3,175000
300,8,1092,1152,0,1152,1,3,158500
301,5,1165,1336,0,1336,1,2,157000
302,5,1028,1210,1242,2452,2,4,267000
303,5,1541,1541,0,1541,2,3,205000
304,7,894,894,0,894,1,3,149900
305,9,1470,1675,1818,3493,3,3,295000
306,5,2000,2000,0,2000,2,3,305900
307,5,700,1122,1121,2243,2,4,225000
308,7,319,1035,371,1406,1,3,89500
309,5,861,861,0,861,1,1,82500
310,5,1896,1944,0,1944,2,3,360000
311,5,697,697,804,1501,2,3,165600
312,6,972,972,0,972,1,2,132000
313,7,793,793,325,1118,1,3,119900
314,5,2136,2036,0,2036,2,3,375000
315,7,728,832,809,1641,1,3,178000
316,5,716,716,716,1432,2,3,188500
317,7,845,1153,1200,2353,2,4,260000
318,5,1088,1088,871,1959,2,3,270000
319,5,1347,1372,1274,2646,2,4,260000
320,5,1372,1472,0,1472,2,3,187500
321,5,1249,1249,1347,2596,3,4,342643
322,5,1136,1136,1332,2468,2,4,354000
323,5,1502,1553,1177,2730,2,4,301000
324,8,1162,1163,0,1163,1,3,126175
325,7,710,1898,1080,2978,2,5,242000
326,6,720,803,0,803,1,2,87000
327,5,1719,1719,0,1719,1,1,324000
328,5,1383,1383,0,1383,1,3,145250
329,6,844,1445,689,2134,2,5,214500
330,5,596,596,596,1192,1,3,78000
331,4,1728,1728,0,1728,2,6,119000
332,6,1056,1056,0,1056,1,3,139000
333,5,3206,1629,0,1629,2,3,284000
334,5,1358,1358,0,1358,2,2,207000
335,5,943,943,695,1638,2,3,192000
336,6,1499,1619,167,1786,2,3,228950
337,5,1922,1922,0,1922,2,3,377426
338,5,1536,1536,0,1536,2,3,214000
339,7,1208,1621,0,1621,2,3,202500
340,7,1215,1215,0,1215,1,3,155000
341,5,967,993,915,1908,2,4,202900
342,4,721,841,0,841,1,2,82000
343,4,0,1040,0,1040,2,2,87500
344,5,1684,1684,0,1684,2,2,266000
345,3,536,536,576,1112,1,3,85000
346,5,972,972,605,1577,1,3,140200
347,8,958,958,0,958,1,2,151500
348,5,1478,1478,0,1478,2,3,157500
349,5,764,764,862,1626,2,2,154000
350,5,1848,1848,880,2728,2,4,437154
351,5,1869,1869,0,1869,2,2,318061
352,5,1453,1453,0,1453,1,2,190000
353,6,616,616,495,1111,1,3,95000
354,8,624,720,0,720,1,2,105900
355,5,940,1192,403,1595,1,2,140000
356,5,1200,1200,0,1200,2,3,177500
357,6,1158,1167,0,1167,2,3,173000
358,5,1142,1142,0,1142,1,3,134000
359,4,1062,1352,0,1352,1,3,130000
360,5,1086,1086,838,1924,2,3,280000
361,6,888,912,0,912,1,2,156000
362,5,883,988,517,1505,1,3,145000
363,5,0,495,1427,1922,3,4,198500
364,8,483,483,504,987,1,2,118000
365,5,796,790,784,1574,2,3,190000
366,7,672,672,672,1344,1,3,147000
367,5,1394,1394,0,1394,1,3,159000
368,5,1099,1431,0,1431,1,3,165000
369,6,1268,1268,0,1268,1,2,132000
370,7,1063,1287,0,1287,1,3,162000
371,5,953,953,711,1664,2,3,172400
372,4,0,1120,468,1588,2,4,134432
373,5,744,752,0,752,1,2,125000
374,6,608,1319,0,1319,1,3,123000
375,5,847,847,1081,1928,2,4,219500
376,1,683,904,0,904,0,1,61000
377,5,870,914,0,914,1,2,148000
378,5,1580,1580,886,2466,3,4,340000
379,2,1856,1856,0,1856,1,1,394432
380,5,982,1007,793,1800,2,3,179000
381,6,1026,1026,665,1691,2,3,127000
382,5,1293,1301,0,1301,2,2,187750
383,5,939,939,858,1797,2,3,213500
384,3,784,784,0,784,1,2,76000
385,5,1580,1079,874,1953,2,3,240000
386,5,1256,1269,0,1269,2,2,192000
387,3,658,658,526,1184,1,5,81000
388,6,1041,1125,0,1125,1,3,125000
389,5,1468,1479,0,1479,2,3,191000
390,5,1682,1742,590,2332,2,3,426000
391,8,861,961,406,1367,1,4,119000
392,5,804,804,1157,1961,2,3,215000
393,7,0,882,0,882,1,3,106500
394,5,788,788,0,788,1,2,100000
395,6,735,735,299,1034,1,2,109000
396,6,1144,1144,0,1144,1,3,129000
397,5,894,894,0,894,1,2,123000
398,5,864,876,936,1812,2,4,169500
399,2,961,1077,0,1077,1,2,67000
400,5,1092,1112,438,1550,2,2,241000
401,5,1260,1288,0,1288,1,1,245500
402,5,1310,1310,0,1310,2,3,164990
403,8,672,672,0,672,1,2,108000
404,5,1141,1165,1098,2263,2,4,258000
405,5,806,806,766,1572,2,3,168000
406,4,1281,1620,0,1620,2,3,150000
407,5,1064,1166,0,1639,1,3,115000
408,7,840,840,840,1680,2,4,177000
409,5,1063,1071,1101,2172,2,3,280000
410,5,1034,1050,1028,2078,2,3,339750
411,3,1276,1276,0,1276,1,3,60000
412,5,1056,1056,0,1056,1,3,145000
413,5,1470,1478,0,1478,2,2,222000
414,6,1008,1028,0,1028,1,2,115000
415,5,1080,1080,1017,2097,2,3,228000
416,5,1340,1340,0,1340,2,3,181134
417,7,672,672,728,1400,1,3,149500
418,6,1370,1370,1254,2624,2,4,239000
419,6,756,756,378,1134,1,3,126000
420,6,1056,1056,0,1056,1,3,142000
421,5,1344,1344,0,1344,2,2,206300
422,7,1602,1602,0,1602,2,3,215000
423,5,988,988,0,988,1,2,113000
424,5,1470,1470,1160,2630,2,4,315000
425,5,1196,1196,0,1196,1,2,139000
426,8,651,707,682,1389,1,3,135000
427,5,1518,1644,0,1644,2,2,275000
428,6,907,907,0,907,1,3,109008
429,5,1208,1208,0,1208,2,2,195400
430,5,1392,1412,0,1412,2,3,175000
431,5,483,483,504,987,1,2,85400
432,7,901,1088,110,1198,1,4,79900
433,5,765,765,600,1365,1,2,122500
434,5,926,926,678,1604,2,3,181000
435,7,630,630,0,630,1,1,81000
436,6,799,827,834,1661,2,3,212000
437,8,648,734,384,1118,1,2,116000
438,7,884,904,0,904,1,2,119000
439,6,440,694,0,694,1,2,90350
440,8,684,684,512,1196,1,3,110000
441,5,3094,2402,0,2402,2,2,555000
442,4,1440,1440,0,1440,2,4,118000
443,7,1078,1128,445,1573,2,3,162900
444,5,1258,1258,0,1258,2,2,172500
445,5,915,933,975,1908,2,4,210000
446,5,1436,1689,0,1689,1,3,127500
447,6,1517,1888,0,1888,2,2,190000
448,5,930,956,930,1886,2,4,199900
449,6,780,780,596,1376,2,3,119500
450,7,649,679,504,1183,1,2,120000
451,8,813,813,0,813,1,2,110000
452,5,1533,1533,0,1533,2,2,280000
453,5,872,888,868,1756,2,3,204000
454,5,768,786,804,1590,2,3,210000
455,5,1728,1728,0,1728,2,4,188000
456,6,1242,1242,0,1242,1,3,175500
457,5,624,624,720,1344,1,4,98000
458,6,1364,1663,0,1663,1,2,256000
459,7,588,833,833,1666,1,3,161000
460,4,709,979,224,1203,1,3,110000
461,5,832,832,1103,1935,2,3,263435
462,9,560,575,560,1135,1,3,155000
463,5,864,864,0,864,1,3,62383
464,7,715,849,811,1660,1,3,188700
465,5,1040,1040,0,1040,2,3,124000
466,5,1375,1414,0,1414,2,2,178740
467,5,1277,1277,0,1277,1,2,167000
468,7,728,888,756,1644,1,3,146500
469,5,1626,1634,0,1634,2,3,250000
470,5,832,832,878,1710,2,3,187000
471,5,1488,1502,0,1502,1,1,212000
472,6,808,1161,808,1969,2,3,190000
473,5,547,1072,0,1072,1,2,148000
474,5,1976,1976,0,1976,2,2,440000
475,5,1494,1652,0,1652,2,2,251000
476,6,970,970,0,970,1,2,132500
477,5,1478,1493,0,1493,2,3,208900
478,5,2153,2069,574,2643,2,3,380000
479,5,1705,1718,0,1718,2,3,297000
480,7,907,1131,0,1131,1,2,89471
481,5,1833,1850,0,1850,2,3,326000
482,5,1792,1792,0,1792,2,2,374000
483,8,910,916,910,1826,1,4,155000
484,5,1216,1216,0,1216,2,2,164000
485,7,999,999,0,999,1,3,132500
486,7,1113,1113,0,1113,1,3,147000
487,7,1073,1073,0,1073,1,3,156000
488,6,1484,1484,0,1484,2,3,175000
489,4,954,1766,648,2414,2,3,160000
490,8,630,630,0,630,1,1,86000
491,6,264,616,688,1304,1,3,115000
492,7,806,958,620,1578,1,3,133000
493,5,728,728,728,1456,2,3,172785
494,6,1269,1269,0,1269,1,3,155000
495,8,190,886,0,886,1,2,91300
496,5,720,720,0,720,1,2,34900
497,5,3200,3228,0,3228,3,4,430000
498,6,1026,1133,687,1820,2,4,184000
499,7,864,899,0,899,1,3,130000
500,7,912,912,0,912,1,2,120000
501,5,672,672,546,1218,1,3,113000
502,5,866,866,902,1768,2,3,226700
503,7,1214,1214,0,1214,1,2,140000
504,8,1501,1801,0,1801,2,1,289000
505,5,855,855,467,1322,2,3,147000
506,5,960,960,1000,1960,2,4,124500
507,5,777,1065,846,1911,2,3,215000
508,5,1218,1218,0,1218,2,2,208300
509,9,689,689,689,1378,2,3,161000
510,6,1041,1041,0,1041,1,3,124500
511,7,1008,1363,0,1363,1,2,164900
512,5,1368,1368,0,1368,2,2,202665
513,5,864,864,0,864,1,3,129900
514,5,1084,1080,0,1080,1,3,134000
515,5,768,789,0,789,1,2,96500
516,5,2006,2020,0,2020,2,3,402861
517,6,689,1378,741,2119,2,3,158000
518,5,1264,1277,1067,2344,2,3,265000
519,5,794,882,914,1796,2,3,211000
520,9,1276,1276,804,2080,1,3,234000
521,7,0,694,600,1294,2,3,106250
522,6,1244,1244,0,1244,1,3,150000
523,7,1004,1004,660,1664,2,3,159000
524,5,3138,3138,1538,4676,3,3,184750
525,5,1379,1383,1015,2398,2,3,315750
526,5,1257,1266,0,1266,2,3,176000
527,7,928,928,0,928,1,2,132000
528,5,1452,1476,1237,2713,2,3,446261
529,7,528,605,0,605,1,2,86000
530,3,2035,2515,0,2515,3,4,200624
531,5,1461,1509,0,1509,2,3,175000
532,8,611,751,611,1362,2,3,128000
533,7,0,827,0,827,1,2,107500
534,3,0,334,0,334,1,1,39300
535,5,707,707,707,1414,2,3,178000
536,7,1117,820,527,1347,1,3,107500
537,5,880,880,844,1724,2,3,188000
538,5,864,864,0,864,1,3,111250
539,5,1051,1159,0,1159,1,3,158000
540,5,1581,1601,0,1601,2,3,272000
541,5,1838,1838,0,1838,2,2,315000
542,5,969,997,1288,2285,2,4,248000
543,5,1650,1680,0,1680,2,3,213250
544,5,723,767,0,767,1,1,133000
545,5,654,664,832,1496,2,3,179665
546,5,1204,1377,806,2183,2,4,229000
547,7,1065,915,720,1635,1,3,210000
548,7,768,768,0,768,1,2,129500
549,7,825,825,0,825,1,2,125000
550,5,912,912,1182,2094,2,4,263000
551,6,1069,1069,0,1069,2,2,140000
552,6,928,928,0,928,1,3,112500
553,5,1709,1717,0,1717,2,3,255500
554,5,0,1126,0,1126,2,2,108000
555,5,998,1006,1040,2046,2,3,284000
556,6,993,1048,0,1048,1,2,113000
557,5,1092,1092,0,1092,1,2,141000
558,6,637,897,439,1336,1,3,108000
559,5,729,729,717,1446,2,3,175000
560,5,1374,1557,0,1557,2,2,234000
561,6,1392,1392,0,1392,1,3,121500
562,5,1389,1389,0,1389,1,2,170000
563,6,996,996,0,996,1,3,108000
564,7,1163,1163,511,1674,2,4,185000
565,5,1095,1166,1129,2295,2,4,268000
566,4,806,841,806,1647,1,4,128000
567,5,1122,1134,1370,2504,2,4,325000
568,5,1517,1535,0,1535,2,3,214000
569,8,1496,1496,636,2132,1,1,316600
570,5,943,943,0,943,1,2,135960
571,5,1728,1728,0,1728,2,6,142600
572,6,864,864,0,864,1,2,120000
573,5,846,846,846,1692,2,3,224500
574,5,384,774,656,1430,2,3,170000
575,7,372,576,533,1109,1,3,139000
576,5,832,832,384,1216,1,2,118500
577,7,861,877,600,1477,2,3,145000
578,6,1164,1320,0,1320,1,3,164500
579,5,689,703,689,1392,2,2,146000
580,5,1050,1050,745,1795,2,4,131500
581,6,1144,1429,0,1429,1,3,181900
582,5,2042,2042,0,2042,2,3,253293
583,5,816,816,0,816,1,3,118500
584,9,1237,1521,1254,2775,3,3,325000
585,7,884,989,584,1573,1,3,133000
586,5,1868,2028,0,2028,2,2,369900
587,7,816,838,0,838,1,2,130000
588,6,840,860,0,860,1,2,137000
589,8,1437,1473,0,1473,1,1,143000
590,6,742,779,0,935,1,2,79500
591,5,770,770,812,1582,2,3,185900
592,5,1722,1728,568,2296,2,3,451950
593,8,816,816,0,816,1,2,138000
594,5,848,848,0,848,1,1,140000
595,6,924,924,0,924,1,3,110000
596,5,1814,1826,0,1826,2,3,319000
597,7,684,684,684,1368,1,3,114504
598,5,1258,1402,0,1402,0,2,194201
599,6,1430,1647,0,1647,2,3,217500
600,6,716,716,840,1556,2,3,151000
601,5,1058,1058,846,1904,2,3,275000
602,6,780,780,595,1375,1,3,141000
603,5,908,927,988,1915,2,3,220000
604,5,600,600,600,1200,2,2,151000
605,5,1494,1494,0,1494,2,3,221000
606,6,768,1186,800,1986,2,3,205000
607,5,1040,1040,0,1040,1,3,152000
608,8,896,1112,896,2008,3,3,225000
609,6,965,1940,1254,3194,2,4,359100
610,5,1029,1029,0,1029,1,3,118500
611,5,1440,1476,677,2153,2,3,313000
612,6,1032,1032,0,1032,2,3,148000
613,5,1299,1299,573,1872,2,3,261500
614,5,1120,1120,0,1120,1,3,147000
615,6,630,630,0,630,1,1,75500
616,7,936,1054,0,1054,1,3,137500
617,5,783,807,702,1509,2,3,183200
618,6,832,832,0,832,1,2,105500
619,5,1822,1828,0,1828,2,3,314813
620,5,1482,1482,780,2262,2,4,305000
621,3,864,864,0,864,1,2,67000
622,7,1522,1548,1066,2614,2,4,240000
623,6,980,980,0,980,1,3,135000
624,5,756,756,756,1512,2,2,168500
625,5,732,1012,778,1790,1,4,165150
626,6,1116,1116,0,1116,1,3,160000
627,5,978,1422,0,1422,1,3,139900
628,6,1156,1520,0,1520,1,3,153000
629,5,1040,1040,1040,2080,1,5,135000
630,5,1248,1350,0,1350,1,3,168500
631,6,636,1089,661,1750,1,3,124000
632,5,1554,1554,0,1554,2,2,209500
633,5,1386,1411,0,1411,2,3,82500
634,7,1056,1056,0,1056,1,3,139400
635,5,1056,1056,0,1056,0,0,144000
636,7,1440,1440,1440,3395,2,8,200000
637,3,264,800,0,800,1,1,60000
638,4,811,811,576,1387,2,3,93000
639,7,796,796,0,796,1,2,85000
640,5,1520,1567,0,1567,2,1,264561
641,5,1518,1518,0,1518,1,1,274000
642,5,1057,1057,872,1929,2,3,226000
643,7,1952,2000,704,2704,2,4,345000
644,5,780,780,840,1620,2,4,152000
645,5,1766,1766,0,1766,2,2,370878
646,5,981,981,0,981,1,3,143250
647,5,0,1048,0,1048,1,3,98300
648,5,1094,1094,0,1094,1,3,155000
649,5,756,1051,788,1839,1,4,155000
650,6,630,630,0,630,1,1,84500
651,6,813,822,843,1665,2,3,205950
652,5,755,755,755,1510,1,4,108000
653,5,880,909,807,1716,2,2,191000
654,7,756,756,713,1469,1,3,135000
655,6,2109,2113,0,2113,2,2,350000
656,5,525,525,567,1092,1,3,88000
657,7,1053,1053,0,1053,1,3,145500
658,6,776,851,651,1502,1,3,149000
659,5,912,912,546,1458,1,3,97500
